Topic0: 0(UNK_0.4676724137931034) 129(monitor_0.158764367816092) 116(apple_0.07255747126436782) 50(color_0.029454022988505746) 97(problem_0.029454022988505746) 37(test_0.02227011494252874) 126(drive_0.015086206896551727) 5(question_0.007902298850574713) 7(faq_0.007902298850574713) 17(system_0.007902298850574713) 22(info_0.007902298850574713) 57(mike_0.007902298850574713) 66(lot_0.007902298850574713) 76(mac_0.007902298850574713) 94(printer_0.007902298850574713) 98(video_0.007902298850574713) 108(sale_0.007902298850574713) 109(email_0.007902298850574713) 143(keyboard_0.007902298850574713) 146(mouse_0.007902298850574713) 
Topic11: 0(UNK_0.3699664429530201) 17(system_0.08473154362416106) 45(standard_0.034395973154362415) 83(systems_0.034395973154362415) 137(read_0.034395973154362415) 77(sound_0.026006711409395974) 81(group_0.026006711409395974) 102(mark_0.026006711409395974) 124(memory_0.026006711409395974) 47(file_0.01761744966442953) 119(win_0.01761744966442953) 6(post_0.009228187919463088) 9(article_0.009228187919463088) 23(great_0.009228187919463088) 31(mail_0.009228187919463088) 35(game_0.009228187919463088) 36(message_0.009228187919463088) 51(wondering_0.009228187919463088) 53(information_0.009228187919463088) 55(heard_0.009228187919463088) 
Topic12: 0(UNK_0.00617283950617284) 1(writes_0.00617283950617284) 2(people_0.00617283950617284) 3(questions_0.00617283950617284) 4(answer_0.00617283950617284) 5(question_0.00617283950617284) 6(post_0.00617283950617284) 7(faq_0.00617283950617284) 8(good_0.00617283950617284) 9(article_0.00617283950617284) 10(apr_0.00617283950617284) 11(long_0.00617283950617284) 12(god_0.00617283950617284) 13(back_0.00617283950617284) 14(book_0.00617283950617284) 15(news_0.00617283950617284) 16(find_0.00617283950617284) 17(system_0.00617283950617284) 18(david_0.00617283950617284) 19(give_0.00617283950617284) 
Topic13: 0(UNK_0.4028677150786308) 38(card_0.09759481961147085) 98(video_0.060592044403330235) 86(driver_0.05596669750231266) 59(vesa_0.028214616096207207) 22(info_0.02358926919518963) 50(color_0.02358926919518963) 33(drivers_0.01896392229417206) 129(monitor_0.014338575393154484) 28(wanted_0.00971322849213691) 44(called_0.00971322849213691) 51(wondering_0.00971322849213691) 60(bit_0.00971322849213691) 92(appreciated_0.00971322849213691) 100(address_0.00971322849213691) 112(window_0.00971322849213691) 119(win_0.00971322849213691) 6(post_0.005087881591119334) 15(news_0.005087881591119334) 17(system_0.005087881591119334) 
Topic14: 0(UNK_0.26769911504424776) 55(heard_0.0907079646017699) 110(brand_0.06858407079646017) 5(question_0.024336283185840708) 16(find_0.024336283185840708) 18(david_0.024336283185840708) 31(mail_0.024336283185840708) 53(information_0.024336283185840708) 84(board_0.024336283185840708) 88(work_0.024336283185840708) 107(washington_0.024336283185840708) 131(computer_0.024336283185840708) 150(friend_0.024336283185840708) 1(writes_0.0022123893805309734) 2(people_0.0022123893805309734) 3(questions_0.0022123893805309734) 4(answer_0.0022123893805309734) 6(post_0.0022123893805309734) 7(faq_0.0022123893805309734) 8(good_0.0022123893805309734) 
Topic15: 0(UNK_0.00617283950617284) 1(writes_0.00617283950617284) 2(people_0.00617283950617284) 3(questions_0.00617283950617284) 4(answer_0.00617283950617284) 5(question_0.00617283950617284) 6(post_0.00617283950617284) 7(faq_0.00617283950617284) 8(good_0.00617283950617284) 9(article_0.00617283950617284) 10(apr_0.00617283950617284) 11(long_0.00617283950617284) 12(god_0.00617283950617284) 13(back_0.00617283950617284) 14(book_0.00617283950617284) 15(news_0.00617283950617284) 16(find_0.00617283950617284) 17(system_0.00617283950617284) 18(david_0.00617283950617284) 19(give_0.00617283950617284) 
Topic16: 0(UNK_0.4605018587360595) 49(source_0.10734200743494425) 42(code_0.07946096654275094) 46(image_0.028345724907063198) 16(find_0.023698884758364312) 24(ftp_0.019052044609665426) 30(program_0.014405204460966544) 74(sun_0.014405204460966544) 26(graphics_0.009758364312267658) 41(gif_0.009758364312267658) 45(standard_0.009758364312267658) 47(file_0.009758364312267658) 48(format_0.009758364312267658) 63(advance_0.009758364312267658) 90(needed_0.009758364312267658) 109(email_0.009758364312267658) 112(window_0.009758364312267658) 115(respond_0.009758364312267658) 4(answer_0.005111524163568774) 6(post_0.005111524163568774) 
Topic17: 0(UNK_0.00617283950617284) 1(writes_0.00617283950617284) 2(people_0.00617283950617284) 3(questions_0.00617283950617284) 4(answer_0.00617283950617284) 5(question_0.00617283950617284) 6(post_0.00617283950617284) 7(faq_0.00617283950617284) 8(good_0.00617283950617284) 9(article_0.00617283950617284) 10(apr_0.00617283950617284) 11(long_0.00617283950617284) 12(god_0.00617283950617284) 13(back_0.00617283950617284) 14(book_0.00617283950617284) 15(news_0.00617283950617284) 16(find_0.00617283950617284) 17(system_0.00617283950617284) 18(david_0.00617283950617284) 19(give_0.00617283950617284) 
Topic18: 0(UNK_0.46670702179176765) 122(number_0.09140435835351092) 132(phone_0.06113801452784505) 139(company_0.030871670702179183) 80(bbs_0.02481840193704601) 131(computer_0.02481840193704601) 16(find_0.018765133171912838) 69(call_0.018765133171912838) 95(line_0.018765133171912838) 8(good_0.012711864406779665) 19(give_0.012711864406779665) 36(message_0.012711864406779665) 101(experience_0.012711864406779665) 13(back_0.006658595641646492) 14(book_0.006658595641646492) 17(system_0.006658595641646492) 27(package_0.006658595641646492) 61(support_0.006658595641646492) 63(advance_0.006658595641646492) 73(university_0.006658595641646492) 
Topic19: 0(UNK_0.755789224952741) 75(windows_0.018155324511657217) 47(file_0.01461090107120353) 85(mhz_0.008703528670447385) 97(problem_0.008703528670447385) 30(program_0.0075220541902961575) 63(advance_0.006340579710144929) 67(version_0.006340579710144929) 117(true_0.005552930056710775) 17(system_0.004371455576559546) 31(mail_0.0039776307498424705) 51(wondering_0.0031899810964083177) 82(dos_0.0031899810964083177) 109(email_0.0031899810964083177) 1(writes_0.0027961562696912413) 16(find_0.0027961562696912413) 22(info_0.0027961562696912413) 28(wanted_0.0027961562696912413) 61(support_0.0027961562696912413) 62(unix_0.0027961562696912413) 
Topic20: 0(UNK_0.43585415259959487) 75(windows_0.06785955435516544) 82(dos_0.06785955435516544) 112(window_0.04760297096556381) 7(faq_0.044226873733963536) 67(version_0.027346387575962187) 24(ftp_0.020594193112761647) 86(driver_0.020594193112761647) 146(mouse_0.020594193112761647) 25(site_0.013841998649561107) 63(advance_0.013841998649561107) 77(sound_0.013841998649561107) 47(file_0.010465901417960837) 92(appreciated_0.010465901417960837) 20(list_0.0070898041863605675) 65(software_0.0070898041863605675) 71(time_0.0070898041863605675) 88(work_0.0070898041863605675) 101(experience_0.0070898041863605675) 103(reply_0.0070898041863605675) 
Topic21: 0(UNK_0.4070247933884298) 86(driver_0.11776859504132234) 94(printer_0.08333333333333334) 28(wanted_0.028236914600550965) 75(windows_0.028236914600550965) 78(copy_0.028236914600550965) 67(version_0.02134986225895317) 109(email_0.02134986225895317) 16(find_0.014462809917355374) 55(heard_0.014462809917355374) 63(advance_0.014462809917355374) 68(ibm_0.014462809917355374) 116(apple_0.014462809917355374) 18(david_0.007575757575757577) 30(program_0.007575757575757577) 31(mail_0.007575757575757577) 38(card_0.007575757575757577) 50(color_0.007575757575757577) 51(wondering_0.007575757575757577) 81(group_0.007575757575757577) 
Topic22: 0(UNK_0.4468838526912182) 75(windows_0.06444759206798868) 44(called_0.04320113314447593) 56(love_0.03611898016997168) 78(copy_0.03611898016997168) 82(dos_0.03611898016997168) 26(graphics_0.029036827195467425) 122(number_0.029036827195467425) 38(card_0.02195467422096318) 97(problem_0.014872521246458928) 98(video_0.014872521246458928) 101(experience_0.014872521246458928) 113(things_0.014872521246458928) 129(monitor_0.014872521246458928) 2(people_0.007790368271954676) 30(program_0.007790368271954676) 37(test_0.007790368271954676) 55(heard_0.007790368271954676) 69(call_0.007790368271954676) 70(run_0.007790368271954676) 
Topic23: 0(UNK_0.00617283950617284) 1(writes_0.00617283950617284) 2(people_0.00617283950617284) 3(questions_0.00617283950617284) 4(answer_0.00617283950617284) 5(question_0.00617283950617284) 6(post_0.00617283950617284) 7(faq_0.00617283950617284) 8(good_0.00617283950617284) 9(article_0.00617283950617284) 10(apr_0.00617283950617284) 11(long_0.00617283950617284) 12(god_0.00617283950617284) 13(back_0.00617283950617284) 14(book_0.00617283950617284) 15(news_0.00617283950617284) 16(find_0.00617283950617284) 17(system_0.00617283950617284) 18(david_0.00617283950617284) 19(give_0.00617283950617284) 
Topic24: 0(UNK_0.4782676187519404) 108(sale_0.08708475628686743) 147(offer_0.029649177274138468) 109(email_0.023439925488978577) 151(meg_0.021887612542688603) 29(interested_0.020335299596398633) 111(condition_0.020335299596398633) 38(card_0.01878298665010866) 28(wanted_0.01723067370381869) 76(mac_0.01723067370381869) 8(good_0.015678360757528716) 69(call_0.015678360757528716) 145(sell_0.014126047811238744) 39(price_0.012573734864948772) 99(contact_0.0110214219186588) 31(mail_0.009469108972368828) 114(shipping_0.009469108972368828) 142(make_0.009469108972368828) 150(friend_0.009469108972368828) 103(reply_0.007916796026078856) 
Topic25: 0(UNK_0.00617283950617284) 1(writes_0.00617283950617284) 2(people_0.00617283950617284) 3(questions_0.00617283950617284) 4(answer_0.00617283950617284) 5(question_0.00617283950617284) 6(post_0.00617283950617284) 7(faq_0.00617283950617284) 8(good_0.00617283950617284) 9(article_0.00617283950617284) 10(apr_0.00617283950617284) 11(long_0.00617283950617284) 12(god_0.00617283950617284) 13(back_0.00617283950617284) 14(book_0.00617283950617284) 15(news_0.00617283950617284) 16(find_0.00617283950617284) 17(system_0.00617283950617284) 18(david_0.00617283950617284) 19(give_0.00617283950617284) 
Topic26: 0(UNK_0.4462090163934426) 31(mail_0.10297131147540985) 158(stats_0.08247950819672133) 100(address_0.07223360655737705) 16(find_0.02612704918032787) 66(lot_0.021004098360655737) 6(post_0.010758196721311477) 24(ftp_0.010758196721311477) 51(wondering_0.010758196721311477) 54(subject_0.010758196721311477) 63(advance_0.010758196721311477) 82(dos_0.010758196721311477) 93(send_0.010758196721311477) 109(email_0.010758196721311477) 123(server_0.010758196721311477) 1(writes_0.005635245901639345) 5(question_0.005635245901639345) 15(news_0.005635245901639345) 22(info_0.005635245901639345) 23(great_0.005635245901639345) 
Topic27: 0(UNK_0.4177438307873091) 58(cheap_0.0710928319623972) 128(fax_0.0710928319623972) 130(modem_0.06521739130434784) 28(wanted_0.03584018801410106) 31(mail_0.02408930669800235) 38(card_0.018213866039953) 39(price_0.018213866039953) 75(windows_0.018213866039953) 104(data_0.018213866039953) 154(games_0.018213866039953) 65(software_0.012338425381903646) 76(mac_0.012338425381903646) 109(email_0.012338425381903646) 135(buy_0.012338425381903646) 4(answer_0.0064629847238542905) 22(info_0.0064629847238542905) 34(set_0.0064629847238542905) 61(support_0.0064629847238542905) 63(advance_0.0064629847238542905) 
Topic28: 0(UNK_0.7882568590350049) 55(heard_0.012476348155156107) 5(question_0.011293755912961214) 106(made_0.009519867549668878) 133(space_0.007745979186376539) 104(data_0.005972090823084202) 1(writes_0.005380794701986756) 31(mail_0.005380794701986756) 2(people_0.0036069063386944193) 38(card_0.0036069063386944193) 50(color_0.0036069063386944193) 63(advance_0.0036069063386944193) 82(dos_0.0036069063386944193) 28(wanted_0.003015610217596973) 30(program_0.003015610217596973) 81(group_0.003015610217596973) 8(good_0.0024243140964995274) 17(system_0.0024243140964995274) 53(information_0.0024243140964995274) 59(vesa_0.0024243140964995274) 
Topic29: 0(UNK_0.539177277179236) 9(article_0.059255631733594515) 37(test_0.04946131243878551) 1(writes_0.044564152791381) 10(apr_0.039666993143976495) 18(david_0.029872673849167482) 107(washington_0.029872673849167482) 36(message_0.020078354554358472) 72(bob_0.015181194906953969) 102(mark_0.015181194906953969) 5(question_0.010284035259549462) 8(good_0.005386875612144956) 39(price_0.005386875612144956) 43(thing_0.005386875612144956) 54(subject_0.005386875612144956) 56(love_0.005386875612144956) 69(call_0.005386875612144956) 71(time_0.005386875612144956) 77(sound_0.005386875612144956) 80(bbs_0.005386875612144956) 
Topic30: 0(UNK_0.4838917525773195) 149(joe_0.07152061855670103) 123(server_0.052190721649484524) 47(file_0.032860824742268036) 95(line_0.032860824742268036) 15(news_0.01997422680412371) 48(format_0.01997422680412371) 31(mail_0.013530927835051545) 40(net_0.013530927835051545) 88(work_0.013530927835051545) 101(experience_0.013530927835051545) 115(respond_0.013530927835051545) 141(internet_0.013530927835051545) 4(answer_0.0070876288659793805) 5(question_0.0070876288659793805) 9(article_0.0070876288659793805) 28(wanted_0.0070876288659793805) 38(card_0.0070876288659793805) 53(information_0.0070876288659793805) 65(software_0.0070876288659793805) 
Topic31: 0(UNK_0.31308411214953275) 65(software_0.09501557632398754) 26(graphics_0.048286604361370715) 6(post_0.03271028037383177) 135(buy_0.03271028037383177) 139(company_0.03271028037383177) 2(people_0.017133956386292837) 16(find_0.017133956386292837) 21(free_0.017133956386292837) 22(info_0.017133956386292837) 31(mail_0.017133956386292837) 53(information_0.017133956386292837) 62(unix_0.017133956386292837) 63(advance_0.017133956386292837) 115(respond_0.017133956386292837) 118(dan_0.017133956386292837) 150(friend_0.017133956386292837) 157(baseball_0.017133956386292837) 158(stats_0.017133956386292837) 1(writes_0.001557632398753894) 
Topic32: 0(UNK_0.7983531496935232) 71(time_0.01332988700982202) 1(writes_0.007052654899933534) 9(article_0.004837161214090539) 63(advance_0.004837161214090539) 11(long_0.00446791226645004) 108(sale_0.00446791226645004) 109(email_0.00446791226645004) 26(graphics_0.004098663318809541) 75(windows_0.004098663318809541) 93(send_0.0037294143711690416) 137(read_0.0037294143711690416) 31(mail_0.003360165423528542) 6(post_0.002990916475888043) 128(fax_0.002990916475888043) 142(make_0.002990916475888043) 5(question_0.002621667528247544) 20(list_0.002621667528247544) 16(find_0.002252418580607045) 17(system_0.002252418580607045) 
Topic33: 0(UNK_0.7631783246642342) 8(good_0.012460212716404007) 135(buy_0.007025852030121886) 81(group_0.006637683409673163) 17(system_0.00624951478922444) 31(mail_0.00624951478922444) 39(price_0.00624951478922444) 131(computer_0.00508500892787827) 30(program_0.004696840307429548) 108(sale_0.004696840307429548) 75(windows_0.004308671686980825) 76(mac_0.004308671686980825) 156(daily_0.004308671686980825) 159(verse_0.004308671686980825) 63(advance_0.0039205030665321015) 109(email_0.0039205030665321015) 22(info_0.003532334446083379) 2(people_0.0031441658256346557) 28(wanted_0.0031441658256346557) 51(wondering_0.0031441658256346557) 
Topic34: 0(UNK_0.7310690423162584) 31(mail_0.015426437835713352) 16(find_0.009530983885759204) 19(give_0.008220883007991616) 65(software_0.008220883007991616) 24(ftp_0.007565832569107822) 14(book_0.006255731691340234) 63(advance_0.006255731691340234) 108(sale_0.00560068125245644) 1(writes_0.005273156033014543) 140(put_0.004945630813572645) 30(program_0.004618105594130748) 48(format_0.004618105594130748) 9(article_0.0042905803746888516) 66(lot_0.0042905803746888516) 8(good_0.003963055155246954) 92(appreciated_0.003963055155246954) 20(list_0.00330800471636316) 29(interested_0.00330800471636316) 51(wondering_0.00330800471636316) 
Topic35: 0(UNK_0.00617283950617284) 1(writes_0.00617283950617284) 2(people_0.00617283950617284) 3(questions_0.00617283950617284) 4(answer_0.00617283950617284) 5(question_0.00617283950617284) 6(post_0.00617283950617284) 7(faq_0.00617283950617284) 8(good_0.00617283950617284) 9(article_0.00617283950617284) 10(apr_0.00617283950617284) 11(long_0.00617283950617284) 12(god_0.00617283950617284) 13(back_0.00617283950617284) 14(book_0.00617283950617284) 15(news_0.00617283950617284) 16(find_0.00617283950617284) 17(system_0.00617283950617284) 18(david_0.00617283950617284) 19(give_0.00617283950617284) 
Topic36: 0(UNK_0.7732926683411074) 134(radio_0.007833991149384045) 119(win_0.00723597655782801) 144(year_0.00723597655782801) 108(sale_0.006637961966271977) 1(writes_0.0054419327831599085) 9(article_0.0054419327831599085) 64(dave_0.0054419327831599085) 5(question_0.004843918191603875) 38(card_0.004843918191603875) 8(good_0.004245903600047841) 31(mail_0.004245903600047841) 2(people_0.0036478890084918067) 6(post_0.0036478890084918067) 63(advance_0.0036478890084918067) 109(email_0.0036478890084918067) 129(monitor_0.0036478890084918067) 142(make_0.0036478890084918067) 13(back_0.003049874416935773) 16(find_0.003049874416935773) 
Topic37: 0(UNK_0.4775179856115108) 33(drivers_0.15377697841726623) 24(ftp_0.0368705035971223) 119(win_0.0368705035971223) 75(windows_0.027877697841726622) 25(site_0.01888489208633094) 38(card_0.01888489208633094) 63(advance_0.01888489208633094) 22(info_0.009892086330935254) 40(net_0.009892086330935254) 51(wondering_0.009892086330935254) 79(kind_0.009892086330935254) 90(needed_0.009892086330935254) 94(printer_0.009892086330935254) 98(video_0.009892086330935254) 121(pro_0.009892086330935254) 1(writes_0.0008992805755395685) 2(people_0.0008992805755395685) 3(questions_0.0008992805755395685) 4(answer_0.0008992805755395685) 
Topic38: 0(UNK_0.5184956843403203) 20(list_0.12392108508014793) 152(mailing_0.11159062885326754) 100(address_0.025277435265104797) 2(people_0.019112207151664607) 31(mail_0.01294697903822441) 63(advance_0.01294697903822441) 18(david_0.006781750924784216) 22(info_0.006781750924784216) 28(wanted_0.006781750924784216) 29(interested_0.006781750924784216) 72(bob_0.006781750924784216) 83(systems_0.006781750924784216) 92(appreciated_0.006781750924784216) 96(files_0.006781750924784216) 133(space_0.006781750924784216) 137(read_0.006781750924784216) 140(put_0.006781750924784216) 154(games_0.006781750924784216) 158(stats_0.006781750924784216) 
Topic39: 0(UNK_0.31681034482758624) 121(pro_0.16594827586206898) 161(angmar_0.16594827586206898) 160(cosmo_0.158764367816092) 141(internet_0.05100574712643678) 1(writes_0.007902298850574713) 9(article_0.007902298850574713) 13(back_0.007902298850574713) 137(read_0.007902298850574713) 2(people_0.0007183908045977012) 3(questions_0.0007183908045977012) 4(answer_0.0007183908045977012) 5(question_0.0007183908045977012) 6(post_0.0007183908045977012) 7(faq_0.0007183908045977012) 8(good_0.0007183908045977012) 10(apr_0.0007183908045977012) 11(long_0.0007183908045977012) 12(god_0.0007183908045977012) 14(book_0.0007183908045977012) 
